,Seller,Item ID,category,brand,Image_path,Logo Size,Logo Contrast,Logo Conspicuousness,Number of colors,Color Entropy
5,seller_103176,7187613,Bags,Chanel,Group4/Sellers/seller_103176/Images/7187613-1_3.jpg,15805.0,1.128,0.02,7.0,0.102
6,seller_10225,3533981,Bags,Miu Miu,Group4/Sellers/seller_10225/Images/3533981-1_1.jpg,0.0,0.0,0.0,7.0,0.034
7,seller_10225,3457893,Bags,Bleu De Chauffe,Group4/Sellers/seller_10225/Images/3457893-1_1.jpg,0.0,0.0,0.0,6.0,0.028
9,seller_10225,3458071,Bags,Stella McCartney Pour Adidas,Group4/Sellers/seller_10225/Images/3458071-1_1.jpg,0.0,0.0,0.0,7.0,0.062
16,seller_10225,2606327,Bags,Christian Louboutin,Group4/Sellers/seller_10225/Images/2606327-1_1.jpg,0.0,0.0,0.0,7.0,0.13
18,seller_10225,2606305,Bags,Chanel,Group4/Sellers/seller_10225/Images/2606305-1_2.jpg,14659.0,0.769,0.017,7.0,0.053
19,seller_1039119,6176374,Bags,Celine,Group4/Sellers/seller_1039119/Images/6176374-1_1.jpg,0.0,0.0,0.0,7.0,0.064
32,seller_1070585,1235369,Bags,Proenza Schouler,Group4/Sellers/seller_1070585/Images/1235369-1_1.jpg,0.0,0.0,0.0,6.0,0.056
33,seller_1007672,9833455,Bags,Prada,Group4/Sellers/seller_1007672/Images/9833455-1_1.jpg,0.0,0.0,0.0,7.0,0.053
54,seller_1027448,3761728,Bags,Balenciaga,Group4/Sellers/seller_1027448/Images/3761728-1_1.jpg,0.0,0.0,0.0,7.0,0.061
55,seller_1027448,3240142,Bags,Chloé,Group4/Sellers/seller_1027448/Images/3240142-1_4.jpg,0.0,0.0,0.0,7.0,0.071
56,seller_1027448,3199111,Bags,Balenciaga,Group4/Sellers/seller_1027448/Images/3199111-1_1.jpg,0.0,0.0,0.0,6.0,0.025
59,seller_10016968,11646796,Bags,Dolce & Gabbana,Group4/Sellers/seller_10016968/Images/11646796-1_1.jpg,0.0,0.0,0.0,8.0,0.067
68,seller_10016968,11384055,Bags,Dolce & Gabbana,Group4/Sellers/seller_10016968/Images/11384055-1.jpg,0.0,0.0,0.0,8.0,0.031
75,seller_10016968,10955231,Bags,Gucci,Group4/Sellers/seller_10016968/Images/10955231-1_1.jpg,0.0,0.0,0.0,9.0,0.084
77,seller_10016968,10907197,Bags,Dolce & Gabbana,Group4/Sellers/seller_10016968/Images/10907197-1_1.jpg,0.0,0.0,0.0,7.0,0.098
78,seller_10016968,10906053,Bags,Moschino,Group4/Sellers/seller_10016968/Images/10906053-1_1.jpg,0.0,0.0,0.0,6.0,0.07
91,seller_1009292,1003697,Bags,Celine,Group4/Sellers/seller_1009292/Images/1003697-1_1.jpg,0.0,0.0,0.0,8.0,0.074
92,seller_1007937,8855564,Bags,Loewe,Group4/Sellers/seller_1007937/Images/8855564-1_1.jpg,460666.0,1.196,0.871,9.0,0.098
94,seller_1023339,11749274,Bags,Prada,Group4/Sellers/seller_1023339/Images/11749274-1.jpg,0.0,0.0,0.0,8.0,0.077
95,seller_108488,8213537,Bags,Saint Laurent,Group4/Sellers/seller_108488/Images/8213537-1_1.jpg,0.0,0.0,0.0,8.0,0.146
97,seller_1009803,3480003,Bags,Dior,Group4/Sellers/seller_1009803/Images/3480003-1_1.jpg,0.0,0.0,0.0,7.0,0.04
119,seller_1018588,5832099,Bags,Chanel,Group4/Sellers/seller_1018588/Images/5832099-1_4.jpg,0.0,0.0,0.0,7.0,0.051
120,seller_1001865,5359799,Bags,Prada,Group4/Sellers/seller_1001865/Images/5359799-1_1.jpg,3213.0,1.608,0.009,8.0,0.097
121,seller_1001865,5359915,Bags,Prada,Group4/Sellers/seller_1001865/Images/5359915-1_1.jpg,0.0,0.0,0.0,7.0,0.083
125,seller_1000386,2159612,Bags,Lancel,Group4/Sellers/seller_1000386/Images/2159612-1_1.jpg,2223.0,1.054,0.003,8.0,0.131
127,seller_1000386,2159535,Bags,Gerard Darel,Group4/Sellers/seller_1000386/Images/2159535-1_1.jpg,0.0,0.0,0.0,7.0,0.07
128,seller_1000386,2159497,Bags,Tara Jarmon,Group4/Sellers/seller_1000386/Images/2159497-1_1.jpg,0.0,0.0,0.0,9.0,0.083
129,seller_1000386,1925965,Bags,Alaïa,Group4/Sellers/seller_1000386/Images/1925965-1_1.jpg,0.0,0.0,0.0,9.0,0.082
152,seller_102386,135784,Bags,Gerard Darel,Group4/Sellers/seller_102386/Images/135784-1.jpg,0.0,0.0,0.0,6.0,0.06
162,seller_1073000,9050355,Bags,Fendi,Group4/Sellers/seller_1073000/Images/9050355-1_1.jpg,3149.0,0.973,0.003,6.0,0.072
166,seller_1065368,1157122,Bags,Louis Vuitton,Group4/Sellers/seller_1065368/Images/1157122-1_1.jpg,0.0,0.0,0.0,8.0,0.071
170,seller_1065368,1027574,Bags,Barbara Bui,Group4/Sellers/seller_1065368/Images/1027574-1_1.jpg,0.0,0.0,0.0,8.0,0.046
171,seller_1065368,1027603,Bags,Bcbg Max Azria,Group4/Sellers/seller_1065368/Images/1027603-1_1.jpg,0.0,0.0,0.0,7.0,0.056
192,seller_107213,903776,Bags,Ikks,Group4/Sellers/seller_107213/Images/903776-1_1.jpg,0.0,0.0,0.0,7.0,0.073
193,seller_10006328,10886459,Bags,Marc Jacobs,Group4/Sellers/seller_10006328/Images/10886459-1_1.jpg,817.0,0.542,0.004,9.0,0.069
